Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,Machine failure
M,297.22043971361467,307.73530089354983,1577.041086568036,51.90871029959452,112.92424043639477,None,0
L,302.70407873194864,312.34410255836775,1499.9473597466315,22.904443546760366,64.97294774378068,None,0
H,304.198815041005,314.6109293417356,1473.3209622325464,27.840330049481892,249.31772938982002,TWF,1
L,299.9175037420416,311.31396944249735,1761.783661871237,35.41230515474218,212.0893946017141,TWF,1
L,304.3182423092066,312.24108264990576,1613.11921595017,30.243287820878635,59.49683611448006,None,0
L,300.1826294572227,310.97988175576273,1308.2392291258477,39.583272645859616,223.0996361711025,TWF,1
L,299.2390881916673,307.7000332700968,1648.1347828671448,54.14525939428755,146.7214915853522,None,0
L,298.739083091629,309.9674108021735,1604.821400636668,27.961815531917566,3.14051221567313,None,0
L,303.2741648159855,312.63713920611264,1390.9452548837562,38.536338235022335,86.5378452416119,None,0
M,298.43971223722446,307.22204085961795,1658.4276852724322,39.91749030599524,6.433189853664506,None,0
L,301.47053861995,312.16580784703876,1468.4854797553921,36.65413751432039,21.94263280550221,None,0
L,298.8816723298816,309.245842393024,1455.6653055749798,24.215750239187784,44.744326616133286,None,0
L,299.0793864748513,308.08019957188964,1450.2173765134132,33.6217447782311,121.09966091655089,None,0
L,302.06049938793916,310.8074996307708,1014.3763886095202,33.65163648450204,95.32217684380592,None,0
M,299.2399263074213,309.05244481993,1394.6601334130796,46.33503955637578,37.24904297839501,None,0
L,299.1904092411594,307.9863222909882,1642.6346484251203,44.19579297698505,98.63885629483931,None,0
H,302.2656093943496,311.20413642142597,1495.5177514192474,24.481042504692024,76.08487278393056,None,0
M,303.19479458644327,313.3104153768647,1242.96271402885,36.12863641983221,102.53898472700895,None,0
L,301.28937960656845,310.32350797231334,1692.9262510384074,34.997447918162436,43.0777215667745,None,0
L,298.6904604487521,309.11699973877865,1440.2799680913208,59.54695283717246,152.42775962109638,None,0
M,298.97878300140485,310.4689265972883,1255.6849018676953,42.923131803016226,11.132806416321223,None,0
M,300.1598305274801,310.01127511257954,1941.202492334203,29.22561580969465,96.96930295339942,None,0
M,300.6418601238513,310.7720111858369,1289.365481102449,32.23202077398349,223.72141839580036,OSF,1
M,298.0242681797205,310.04236491255597,1675.898302257142,36.214546008046106,104.91756892569254,None,0
L,301.4460758791597,310.25847476178234,1346.137179829079,43.62367575391542,110.26998414800612,None,0
L,300.1710266592792,311.36226185446,1527.1653669147643,44.84920946162238,17.002163598738072,None,0
L,296.56858336272376,307.63944096063625,1319.563807326365,42.004826426914455,151.34107372239495,None,0
M,298.14214703507855,308.99646437425235,1252.1391637452682,37.902347543637354,234.1006998928635,OSF,1
M,298.9917426526967,310.28349050342933,1604.4405089342818,38.63999675809658,72.90259913596087,None,0
L,299.8542846223179,310.1348595882765,1581.0581090268802,38.71030773585882,98.31291214968313,None,0
L,303.778557591008,313.1956280954087,1728.929888843813,22.17090102714114,147.0395255068219,None,0
L,300.47634261227927,311.57091590349984,1493.1236139408275,39.3870837835632,23.30279004104055,None,0
L,298.31845622020273,309.45129843191563,1944.0703588252984,34.22745944205627,237.57086223760842,HDF,1
M,300.44126160861435,311.54657551010763,1553.6693334874071,23.47169779215269,116.89916844170436,None,0
M,299.29582450509224,309.3403265874115,1613.3549362474425,64.17882578036485,28.774076096528155,None,0
M,300.6495164790671,309.93332196545373,1228.3141509785544,43.11303605987119,83.80681433658043,None,0
L,301.16113537407125,311.35249762818285,1377.1831369754939,40.13103258278297,93.45772955550672,None,0
L,302.41846129444787,313.3606913120157,1603.9359401031954,36.288720094042105,86.34438314371774,None,0
M,299.95142700865995,310.9757787985199,1483.1544475172834,47.302224586486865,173.30591240911147,None,0
M,303.27792105519967,312.8482449281251,1537.5366270069271,28.376997407929856,86.38018232916971,None,0
L,301.81604532507237,312.13141822119974,1336.7012488571613,36.872957080571865,80.96349163685582,None,0
M,298.5851209103756,307.2763426058897,1524.3893946943244,30.47829117325926,80.52213089993185,None,0
L,304.41971133149696,315.4046614345028,1523.7091783183473,47.215628536713524,194.4621289728398,None,0
L,300.6539890265402,309.8706802698151,1263.9129960229523,31.73258854147346,77.09538042225181,None,0
L,298.32975099205555,309.1150063516271,1628.5099689361182,51.01327811633697,3.4995232109570895,None,0
L,303.30582610246086,312.1565215250707,1159.9870106164062,39.007246123962105,91.38378429601873,None,0
L,304.1555551703969,315.1869710768309,1536.8476161195367,47.744900968270564,69.55929492300974,None,0
L,299.93394947256087,310.25578466258366,1853.1185387651,43.998588843708745,227.25431260741706,HDF,1
M,298.9926994792488,308.21134178363184,1636.1101075638164,50.59244833995519,119.47654393090463,None,0
L,299.6552500850927,310.3466064661732,1634.859849207421,30.648234039714765,58.64383353357108,None,0
L,301.4294634550354,310.83910176323,1320.514665010263,49.05623184946641,245.39583614910063,TWF,1
H,302.55571331006104,313.30526834750617,1853.8124106305722,21.374113467707364,61.68605760139709,None,0
L,301.14097466172717,310.86686318634645,1775.3436189204576,40.43126762113686,190.75603626979898,None,0
L,300.20344641694356,308.4823992913139,1331.2819954208865,34.54078067696985,162.38765483258683,None,0
M,302.99602354060886,312.01360730012794,1405.0473516370246,25.95458616004963,115.55702319361383,None,0
L,299.37432705389693,308.94391234520964,1750.9312089853377,31.064778750066598,101.45877562891175,None,0
L,302.0618386767338,313.4300277004824,1859.2294756633514,33.593442737206665,218.09561982679742,PWF,1
L,299.4238744032974,310.32501803382667,1247.0627929819423,38.03448317896134,118.77059715226548,None,0
L,300.86204591602177,312.4859073283439,1299.2578460550847,34.751503481508074,93.83928480748143,None,0
H,299.7728748704191,311.42651008644896,1471.242648715566,40.80025973539655,88.56255122362275,None,0
M,299.8882956346944,309.35354483010343,1065.781194111497,31.698416844114302,68.96700120064177,None,0
M,299.2452269650756,309.05674010531675,1503.8090320418846,35.23142298998666,102.24148790113432,None,0
M,302.6897080623614,312.27842813803085,1737.148702805997,37.10933934959138,29.979496927962284,None,0
M,298.53414792378294,307.86263731848186,1212.2725967528502,41.82096222330757,16.280758184655102,None,0
L,298.5195354949026,306.6780407855661,1525.4213929950174,48.48847281837563,135.36688249804308,None,0
M,304.2419871316902,314.2272394136734,1383.6458590009374,48.536630070653786,113.56538220247447,None,0
L,301.95569512930865,310.67012953559754,1827.9891897507835,42.37483991802165,43.34806997672494,None,0
M,295.22977260261393,305.1956007210796,1386.0416275733899,44.30253016605599,26.69980230426361,None,0
M,298.8694825215792,310.9852533311422,1803.7986175497167,43.11866915845475,35.81680876706686,None,0
L,296.37602132487586,305.86667622854515,1380.5089858377546,36.85357824136454,78.81112484221781,None,0
L,298.0986186131695,308.29339261879755,1654.2351610668259,49.00583002617879,112.8711668751893,None,0
L,293.7229706675319,304.6296190533412,1550.3891236725399,30.85518907516237,48.33752732660296,None,0
L,299.7260208446121,310.006312136578,1472.3454666971397,19.518545316961546,188.9062460293425,None,0
M,297.7161163616774,308.0086005496197,1341.8942861892049,29.58510613245644,48.33109477531808,None,0
M,300.1198105135929,309.7574080799048,1564.6190842635785,54.03120815104287,31.03161248852121,None,0
L,296.74975748223494,306.5178795071737,1411.8929475030177,37.04566861502321,248.638717307667,HDF,1
L,300.1658237063441,309.2058131841563,1362.0467550383723,42.741290061837674,111.92789080684729,None,0
L,299.17016744375934,310.01621245264874,1794.544548275144,37.26049983429795,42.50175429009539,None,0
L,303.0039059303772,311.2624142737631,1609.5060454986453,45.61665328826358,223.639237005915,OSF,1
L,302.82271372349123,313.7938020618734,1628.7277903814406,40.70712666006377,57.772906147791545,None,0
L,301.57069120602057,310.1669928212753,1421.6802962775475,39.314079907677474,231.39498883976017,TWF,1
H,299.3467724386776,310.30937971275426,1462.8043305833392,46.13778335050445,29.740213411522415,None,0
L,303.9707607905206,313.6169432643084,1450.2846665297777,35.343220613811766,210.45367398460814,OSF,1
L,296.89392944432035,305.66206075618726,1567.4477825001954,43.72077782697052,46.06677715564966,None,0
M,297.1928827408727,307.7721813859523,1628.360690368501,38.25278338922184,234.5844121438135,TWF,1
L,299.83243380022185,310.76120133529764,1493.9497259376856,38.92573746787108,143.56091067869212,None,0
H,304.50807621784224,314.0699975697387,1341.4710011638717,31.814025006767253,47.4784239369147,None,0
H,299.5953221862598,310.31593273493877,1652.1140914053096,37.84044350613727,211.20501357218106,HDF,1
L,299.63350951358143,307.34842501891205,1506.6807736416672,34.58757449752819,97.64399804271685,None,0
L,297.1161792877764,305.7955829980298,1211.8327242458038,51.29920178761094,183.20335531553954,None,0
L,301.8918591705408,313.18426810100954,1072.9410499840624,23.159283361412392,160.86018038907582,None,0
L,301.9063525086587,311.6826832344608,1559.5794350920946,48.892598914444626,178.573630609214,None,0
L,301.5781504027998,309.71593707635094,1334.1052402244593,22.55742319311018,85.9287236188946,None,0
M,298.74155865430527,308.04269247386327,1586.2124258792905,45.37215637609962,234.70637180286693,TWF,1
L,298.586586463254,307.6631859907289,1344.8763382272132,31.62269765787572,139.95328658143526,None,0
L,297.4137554991901,307.24779376771716,1526.6371544990013,45.663222641683404,19.390152498295706,None,0
L,300.1677450035219,309.79699401971425,1424.3196944075817,38.786409919838356,16.683501840024846,None,0
H,297.839185341443,308.01811707038115,1850.384162054661,25.676466441112094,184.5574069626334,None,0
L,297.64516698950143,307.5757009378889,1690.0631315637288,53.58618539843817,212.4936090374995,PWF,1
L,299.15261856617866,310.5123578212157,1769.459380037566,47.766463098556436,173.81990877279324,None,0
L,299.0216876496316,309.4462362493513,1504.809553823813,45.03175456998856,69.37432786893935,None,0
H,298.9240429423561,309.38171455354967,1664.4721878229761,33.59630255612135,56.475990373938,None,0
L,300.9328891936805,312.09804631757504,1518.3300155202282,48.11084613452466,141.35914737724022,None,0
M,300.15809560430057,309.769326853871,1793.9182734867452,27.167483784017573,49.194874508890486,None,0
M,299.42368793897776,308.1618104956193,1485.4875869487453,17.723538774926695,94.7749391175745,None,0
L,300.36602585662297,311.57299618125523,1220.5021319278412,24.37674130807799,157.17280778627557,None,0
M,298.01694591779074,308.15278766589887,1100.2756949492123,30.78011963673585,71.22783414378203,None,0
L,300.21055724781934,310.34990845571826,1833.662223912903,32.451631159094674,93.85973042705787,None,0
M,300.30120498568925,309.66787506415903,1595.7008948301718,35.651564311539104,90.12947371959609,None,0
M,296.99390628128504,306.3770509481815,1608.8513700083483,36.09566765380363,115.1308787149779,None,0
L,301.99138750874073,312.8381098475116,1797.9295684583165,33.501617177089685,168.58995599261786,None,0
L,298.23713258954604,309.22178838768366,1169.653011254809,18.836852278338235,195.5872922317708,None,0
M,300.1806195984129,310.96444300415953,1428.2797569536385,41.92123367610648,166.2706198701265,None,0
L,302.3288234810705,313.121785086516,1452.7860340769932,37.35325246548665,6.541957624370431,None,0
L,301.8513535154277,312.4203830526875,1648.455046641403,33.03656415452617,224.20992378700976,TWF,1
L,300.06866677713765,310.2001895072158,1361.4719549798235,53.980212913726945,145.29719638812762,None,0
L,299.2750019942359,309.0996223099149,1259.725251297042,37.57834635444635,230.06162346413421,OSF,1
M,301.8950238171511,313.1053476670927,1257.9302698005786,40.58531732456176,240.9680728552233,TWF,1
L,301.34938995561726,310.9756690851268,1729.883615254404,47.95850151783132,116.96169564653067,None,0
L,298.7632699599117,309.1332491737925,1351.4935812393765,25.10139157772506,229.09140060906438,OSF,1
L,298.4102127059966,307.60619970804237,1389.5965031356377,39.77389946332098,91.34640978274447,None,0
M,295.855289636608,305.1959905997576,1626.8996301455809,47.92547854016627,65.09456369553656,None,0
L,300.30806368336715,310.0719091155099,1360.2109183530201,39.08671097301088,18.40756816342759,None,0
M,299.8346045099632,309.030666133236,1159.0103154488716,26.966574133144082,112.95761356628043,None,0
L,302.2723827492851,313.0702345747634,1183.6597652550201,35.17524555054726,172.1718204342616,PWF,1
H,300.71811018696076,309.37007593541574,1488.6385206569084,41.889866457436476,244.208917069042,HDF,1
L,302.66845838834536,312.7676880117264,1599.4656860730443,18.931221098508672,130.32731946789346,None,0
L,298.60527154416764,308.7377796410098,1459.5509512299159,26.47339004898756,183.6187079525246,None,0
L,302.27630066193524,310.46550108361555,1586.0885407618139,59.73536895935109,224.03678814079194,OSF,1
H,298.9421672417907,308.5011434212671,1177.4324947984728,44.845902276849124,135.79632534329778,None,0
M,301.55519212358456,311.8108916616327,1190.9392918063784,54.83470560716281,41.6913207590284,None,0
L,297.08248321493863,307.5112112082327,1950.7871832588482,48.66317701507882,212.05210380000028,RNF,1
M,300.4702705987324,310.26596339013224,1746.556854427336,43.9398364317413,143.54342656086018,None,0
M,296.0306241171082,306.70751232158887,1653.7943783797036,36.909207610564934,189.62781237471225,None,0
L,299.4657250281165,309.3564087708804,1368.0550658531122,43.81213874384817,164.6194819199087,None,0
L,300.88070798775584,310.8943608998309,1452.39876185391,54.49964190862355,15.25937654679746,TWF,1
L,298.9580628975378,309.20971676652437,1499.66453657328,48.25538923167429,42.27874090746689,None,0
L,297.8991247424881,308.82612437122225,1762.8692227433048,41.66810304846779,71.56243811269411,None,0
M,301.69223693859186,311.01651893617634,1580.5565532890184,38.27652930800356,71.17695499414786,None,0
H,299.79307442030614,309.30625254778784,1605.1827602575602,44.98323587470863,209.7994262782616,TWF,1
M,299.0208587059387,308.35196221420944,1466.4690129765,34.67957392709429,149.55984029375972,None,0
L,300.08379184230853,309.7515941261666,1658.533013368017,44.98474410414452,20.843833994365124,None,0
L,305.2733382838912,316.69957254197095,1560.4645494862546,33.02044509003951,96.79964342458774,None,0
M,302.3070056995631,312.8797310188929,1508.8045465491361,36.46079112514576,139.08267135874718,None,0
M,302.32514733637566,311.19405759120684,1351.3831655627457,29.722945337834997,62.875707491817536,None,0
M,300.8710926379847,310.27064567239603,1477.2856515796736,35.60236955905672,9.958474031159126,None,0
M,300.3329705451543,310.7057377694307,1284.093459244009,33.16272341513754,95.06593481929559,None,0
M,295.2078354233392,304.3013276424064,1491.972198802609,56.91915391109107,115.29722514424171,None,0
L,298.64203930707373,307.916699266259,1517.78227159298,31.055042427722118,226.19123547883345,TWF,1
L,299.03885117359505,310.3838108397692,1019.0963230787372,43.848352956078905,227.09154143339302,TWF,1
M,296.2502158719049,305.6368402434317,1453.9320921798992,30.53117680646418,125.1006180973288,None,0
M,297.68516841956915,308.6398352355985,1264.8239590790815,40.46896036676116,117.87363937885057,None,0
L,296.0383270581547,307.29365024768566,1599.727865103339,42.8991540195439,160.12551497022747,None,0
L,299.92335232860523,309.18989023743626,1627.4319487101989,21.488963260762993,64.53101660965702,None,0
M,301.63753194169766,310.74756938514054,1414.7320364669365,26.022985116777978,71.42854470862609,None,0
L,302.21354903724864,311.9374169507675,1609.8044174243832,30.45326808762017,0.6394630919138167,None,0
L,300.8295689241585,309.74094120348485,1618.2133872670122,26.96763125951464,19.552969145744697,None,0
L,298.07320731760285,308.1942411961056,1454.0568321176463,40.84085201945517,44.62590783164022,None,0
M,296.1358696829601,305.9302177711067,1806.8573950607315,42.425802087548654,160.1431844606749,None,0
M,296.486262601197,306.84684261708327,1354.9850125986998,29.36928044632465,53.164314185014106,None,0
L,297.462034845491,308.8589783017238,1794.2731406506332,41.24198436932555,31.019751199991592,None,0
M,298.22228060392865,309.03976558469896,1454.9601141633589,35.75921386228618,154.07618093682245,None,0
L,299.6805030040168,310.16974277942916,1331.3347293548065,39.005239664311134,162.937505896399,None,0
L,297.97167156374604,306.00562315077815,1429.6903048391234,33.715767103940834,14.91828205632839,None,0
M,300.6779517873365,311.1213277694389,1280.1221544541354,44.87656732462146,193.22452189988053,None,0
M,299.53545299440106,311.25808065510563,1656.9115734778406,56.34929256937677,151.5392673982294,None,0
M,300.02109142348206,307.01056890716853,1179.4462043849448,47.74334215618578,99.2663608903146,None,0
M,302.2805011053424,312.96988364831805,1777.9217107537652,53.933908486791175,245.7955729576519,PWF,1
L,297.6395365315993,307.4801779568428,1312.8265596507078,25.97175216893708,2.5498382173233525,None,0
L,300.8374091565847,309.98761415356176,1667.330674369191,33.24290897726858,136.21293194683076,None,0
L,299.9720535430479,310.77318212695985,1504.8451722120935,45.65235832798015,39.925852183638895,None,0
L,299.3330274380606,311.0427333386679,1554.1630566099193,55.08294174883442,82.33319205924764,None,0
L,301.7705126417319,312.54574337056965,1381.9913257445273,46.50440426906574,33.300570878169566,None,0
H,301.758028309114,311.3868363578525,1570.5616000666264,29.737759146261364,167.05362790211606,None,0
L,298.1070184080231,307.16354858361495,1526.9948577101727,35.653426651811195,100.39289835049348,None,0
M,299.63567883228416,309.7803064660737,1208.4177863661344,43.33404436588141,246.57487516837662,TWF,1
M,300.5624233651681,311.4355926575497,1307.4999994133484,38.353404783692525,163.4617793252318,None,0
M,299.4539865039548,309.0669334777211,1391.8175777980387,32.012275422816295,229.33370430266626,TWF,1
L,301.1700426645756,310.8796596729248,1349.00069637471,37.0974555665557,60.206796958217346,None,0
L,300.56238403582057,313.384384285659,1750.5621890767302,39.85563981240421,79.6960157885384,None,0
L,303.665122480712,314.74377442667173,1501.4028367694998,29.150786945224212,90.67055986756769,None,0
L,296.9394417281404,308.08957040653405,1344.2657304720237,49.84509072536735,209.62875357442462,RNF,1
M,299.7551280205052,308.2948421144464,1401.8460351993922,35.603851774409605,52.9189425007354,None,0
L,298.18299497697564,307.4758062976822,1399.1073832905868,39.274237736892054,236.6801945132361,TWF,1
L,301.2082149108781,311.28289655033234,1442.3901055989868,50.35052703723987,10.894772252814878,None,0
M,296.7656562199089,305.76451866202376,1284.9341190560801,38.75001333894045,222.46450359292598,TWF,1
L,300.69262542044976,312.29302271933904,1337.2137778805363,49.80358828441589,112.85346957021652,None,0
H,298.7399031373033,310.15021544389396,1653.321382232842,29.707991390832735,131.4745085211308,None,0
H,298.531676267758,307.9981309303739,1537.0686206733826,44.32955914616283,249.34936062270097,HDF,1
H,297.1070035929186,308.8909221995261,1469.53249069196,48.39322355713954,217.5119950821062,HDF,1
L,299.069848107598,309.06559601087804,1500.52456346302,31.70132001520951,226.0053977166557,PWF,1
L,302.1690010605819,314.75839077797093,1490.8878486849178,38.216304076335945,146.38375159831295,None,0
H,299.94962263294104,310.0943087634661,1458.1737790536713,38.4232441536942,239.08544563748055,TWF,1
L,301.25536083574895,311.83155358607735,1603.4209677414958,42.096392171497065,171.95135815925238,None,0
H,303.32928364393257,314.7291870851021,1588.6319971695852,44.74801617339769,204.83175810146997,HDF,1
H,300.52751116964515,311.80514451945294,1185.647405354557,30.887938013776893,180.23347690792966,None,0
M,298.88240085587535,309.39313292201126,1473.6875628181515,39.39945141698682,195.22860770569108,None,0
L,300.93450443036556,310.79336411092174,1198.8361201318469,55.91318173574579,159.49273873003457,OSF,1
L,298.91140770737144,309.42554040736456,1627.1154406911412,50.53876791624804,181.6021541035197,None,0
M,298.99115463340564,308.17497046152954,1653.5333113700567,47.93843845243837,108.9846194561486,None,0
L,296.960214400762,307.1123481196261,1377.8442204716607,38.07220402065368,176.71684835966425,None,0
L,301.85251498216877,310.74320744967076,1476.6482089330568,61.28830824727123,69.20263811195096,None,0
L,299.22799484870114,307.44711320862086,1077.711940575551,50.298141885062606,158.73519760995296,None,0
H,300.36419649163173,310.4146232557712,1694.5579628184053,40.37418867929432,130.93810812963423,None,0
M,297.9280761427867,309.1903540334584,1641.9347480502804,42.20410715590701,224.6344042976364,OSF,1
L,300.87189525943097,311.79769990102704,1730.0170523475051,35.41150345260959,168.30571084074933,None,0
L,298.47611752372984,308.39420522800424,1797.3088280674199,43.933716911583055,149.15513465637622,None,0
M,299.71658255659634,311.46357225477186,1255.178141404645,45.93075033726914,78.26852593002943,None,0
H,301.75565206247825,311.1865906716317,1677.6088403276883,47.02608084547097,215.70097956811014,TWF,1
L,301.58151862446505,309.66368596266705,1795.860888883692,38.19316107809552,13.539422540536943,None,0
L,299.9559398549661,307.77383856076517,1201.0844257941528,25.263006623723278,224.93775795300047,TWF,1
M,296.46373793458656,305.2825469939908,1465.7577576308572,42.41788346179825,163.2443960096413,None,0
M,305.9856211401213,316.80224588338353,1427.319603354115,47.067935059306066,47.37314912753454,None,0
M,303.49171794054627,312.85691525707887,1671.0923728382995,30.21446659644802,225.74887559886966,TWF,1
M,301.4453496497766,311.9063082916339,1021.211786731184,39.09167422004627,81.5884951324505,None,0
L,298.49359243681806,310.13987582040204,1863.1915392464389,53.41465825240393,42.06814914606966,None,0
L,299.77281567659605,308.67271871401823,1477.4925871610812,27.965249419299553,79.7865154012494,None,0
M,298.91315914044696,309.39165887224283,1683.2188804034292,37.16265650211536,240.26808209282018,TWF,1
M,302.5277118781928,313.06667495084855,1487.9525524616818,54.8713914793835,188.18962482668175,None,0
M,300.52500578170367,309.6642677932306,1598.4250101959349,41.5771535411377,229.1982830428014,TWF,1
H,298.4316722832803,309.7858832085254,1035.71634827677,34.739881717597605,74.71800754463992,None,0
L,299.05848980175045,308.77078274620095,1423.023525439858,39.92968406889593,20.60981979026466,None,0
L,302.2423762851398,311.8586233042268,1669.5522422687357,48.25917132278281,140.68880673499052,None,0
M,303.200195693641,315.31180891205895,1557.746469342739,37.96494464816243,120.75019332628193,None,0
M,303.05666312697247,313.5794298693392,1172.6317814546485,45.975821149390754,180.15119595595723,None,0
M,301.51406413010795,312.43935467979344,1512.2849787753225,42.349901586757454,135.66879514441953,None,0
M,299.49475026239475,310.84964319391656,1336.251534827699,43.1707841034864,99.11669386911775,None,0
M,293.51697234934176,302.86649834988253,1318.9161497653124,46.61541511008133,1.1714635196113377,None,0
L,300.59432004761646,311.8441411446701,1195.8611453366564,37.05171917026707,116.93663960142972,None,0
L,299.9963424823118,309.4944483673141,1623.740524381426,30.55489247127713,30.16070508197513,None,0
L,300.2799641926427,309.7353408033044,1722.602888787127,44.74395605447105,230.50027577637184,TWF,1
L,300.1077946940664,309.83579472175825,1924.028626832569,38.67595887223231,230.42658263255942,RNF,1
L,297.3474756761017,306.7254108411567,1205.1903216514143,35.518887740866155,200.91225184435814,TWF,1
L,301.1148171137024,311.9369735463595,1653.4744322452952,45.26385289308047,39.46666689418604,None,0
L,301.2644326280637,311.5316432832087,1666.6342740841817,52.77347081193697,36.859703434350244,None,0
L,301.3646775641193,310.87345314950215,1383.8990645563983,38.454216169812156,140.82755843885417,None,0
L,301.8931540071468,312.56765904030163,1316.4843229181338,40.0844953855811,181.86544227463273,None,0
L,301.2081032898432,310.9329208524569,1282.851535806614,28.18232780873621,226.13481739253706,TWF,1
L,299.17994117692217,308.8518708065575,1394.5293513079569,37.773053915881285,223.50859386717212,TWF,1
M,299.8583263041678,309.90701018906935,1540.52431917119,42.2129044685085,38.83189519418853,None,0
L,300.18224973450674,310.64571009017294,1772.0224021013626,39.79555901312262,248.8684875190552,PWF,1
L,300.2153988982132,310.60524654759064,1721.0676676020232,36.37844167145897,39.19937039430763,None,0
